Date,Food,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other,Mkt,RF
1930-02-01,  -0.08,   3.00,  -8.25,   2.37,   4.10,   0.49,   0.09,  10.36,   6.33,   3.34,   2.51,   8.65,  -5.13,   6.17,   8.44,   2.50   0.30,   0.30
1930-03-01,   0.35,   1.76,  -0.16,  10.65,   4.40,   3.00,   5.54,   6.74,   7.23,  12.12,   4.15,   9.85,  -2.41,   8.83,   9.09,   7.09   0.35,   0.35
1930-04-01,   3.16,  -5.81,  -7.07,  -5.13,  -1.81,  -5.52, -13.29,  -4.01,   1.88,  -7.93,  -7.05,   3.31,   2.57,  -3.92,  -1.83,  -2.05   0.21,   0.21
1930-05-01,   1.70,  -4.99,  -9.34,  -2.24,   1.05,  -1.59,   0.16,   0.42,  -3.49,   5.05,  -1.03,  -1.28,  -0.02,  -5.62,  -2.12,  -1.66   0.26,   0.26
1930-06-01, -12.19, -15.47, -26.49, -17.74,  -9.95, -18.97, -12.45, -17.33, -17.53, -22.10, -10.77, -19.30, -16.15, -21.71, -13.99, -16.08   0.27,   0.27
1930-07-01,   2.83,   3.84,   2.72,   5.57,   4.21,   7.30,   3.42,   8.81,   2.67,  12.64,   3.40,   4.08,   2.78,   4.36,   3.18,   4.12   0.20,   0.20
1930-08-01,   1.84,  -2.47,  -6.64,   4.54,   4.40,  -3.06,  -2.46,   0.18,   3.08,  -1.78,   0.32,   1.19,   5.28,   1.28,   0.32,   0.30   0.09,   0.09
1930-09-01, -10.27,  -6.29, -20.09, -14.25,  -8.92, -16.01, -13.83, -11.35, -15.82, -16.52,  -9.44, -11.94, -10.97, -18.33, -10.64, -12.81   0.22,   0.22
1930-10-01,  -5.11,  -4.65,  -8.40, -12.46,  -4.63, -13.93,  -8.03,  -4.85, -14.63, -11.53,  -7.24,  -8.29,  -8.68, -15.49,  -7.03,  -8.78   0.09,   0.09
1930-11-01,   0.98,  -0.13,   1.27,   0.16,  -1.42,  -2.87,  -1.04,   1.36,  -1.89,   5.34,  -4.61,  -8.76,   2.78,  -8.42,  -3.39,  -3.04   0.13,   0.13
1930-12-01,  -5.31,  -7.12, -12.28,  -4.67,  -4.11, -12.71,  -8.93,  -4.75,  -8.56,  -0.69,  -8.60,  -3.68, -13.64, -12.52,  -7.14,  -7.86   0.14,   0.14
1931-01-01,   5.74,   3.39,  10.61,  -0.90,   7.04,   6.11,   3.09,   2.87,   3.05,   7.73,  11.67,   5.61,   7.23,  18.39,   7.23,   6.25   0.15,   0.15
1931-02-01,   6.84,   6.46,  12.84,  13.66,   6.70,  14.71,  14.56,  12.89,  15.96,  17.31,   3.14,  15.31,  15.16,  17.31,  10.04,  10.88   0.04,   0.04
